Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
404-2808685-3917929,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XL,Shipped,1,INR,788,Dhamnod Dhar District,MADHYA PRADESH,454552
407-6528316-9878708,27-04-2022,Cancelled,Amazon,Amazon.in,Shirt,XXL,Cancelled,0,,,Opposite to Sri mookambika Temple kollur,KARNATAKA,576220
403-2351663-8746747,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,696,ERANHOLI,KERALA,670649
408-3431715-7390744,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1112,PUNE,MAHARASHTRA,411038
406-5938080-9246747,27-04-2022,Shipped,Amazon,Amazon.in,Wallet,Free,Shipped,1,INR,460,GHAZIABAD,UTTAR PRADESH,201011
406-5938080-9246747,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,XXL,Shipped,1,INR,360,GHAZIABAD,UTTAR PRADESH,201011
171-1324382-6910745,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,S,Cancelled,0,,,PANCHKULA,HARYANA,134113
407-5348640-4881122,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XS,Shipped,1,INR,1186,CHIRGAON,UTTAR PRADESH,284301
403-2224176-7250743,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,399,ghaziabad,UTTAR PRADESH,201201
405-4969432-3413936,27-04-2022,Returned,Merchant,Amazon.in,Trousers,XXL,Shipped,1,INR,377,LUCKNOW,UTTAR PRADESH,226010
405-4774453-6665949,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,495,Mumbai,MAHARASHTRA,400086
407-2033544-3390760,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XS,Shipped,1,INR,939,CHENNAI,TAMIL NADU,600126
408-7080998-8561129,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,M,Cancelled,0,,,VARANASI,UTTAR PRADESH,221002
403-0277906-8032300,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,S,Cancelled,0,,,ERANHOLI,KERALA,670649
408-9367366-1224356,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,590,MUMBAI,MAHARASHTRA,400072
408-9367366-1224356,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,526,MUMBAI,MAHARASHTRA,400072
408-6176421-4673963,27-04-2022,Returned,Merchant,Amazon.in,Blazzer,S,Shipped,1,INR,859,MUMBAI,MAHARASHTRA,400072
405-1821561-4065133,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,L,Cancelled,0,,,BHUBANESWAR,ODISHA,751030
408-5006252-7424328,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XL,Shipped,1,INR,1112,UDAIPUR,RAJASTHAN,313011
406-5381130-0800304,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,XL,Shipped,1,INR,499,PANAJI,GOA,403001
403-2575259-8350736,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,759,HYDERABAD,TELANGANA,500086
403-4706195-3865948,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,S,Cancelled,0,,,ERANHOLI,KERALA,670649
405-1014232-8681154,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,M,Unshipped,1,INR,788,HUBBALLI,KARNATAKA,580032
405-1014232-8681154,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,M,Unshipped,1,INR,1112,HUBBALLI,KARNATAKA,580032
407-8795006-4210712,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1115,RANCHI,JHARKHAND,834002
407-8795006-4210712,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,526,RANCHI,JHARKHAND,834002
404-0043972-3085150,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,XXL,Shipped,1,INR,459,BADLAPUR,MAHARASHTRA,421503
405-0039280-5799567,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,S,Shipped,1,INR,259,PUNE,MAHARASHTRA,411028
407-0225323-4729123,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XL,Shipped,1,INR,725,"Thirunagar, Madurai",TAMIL NADU,625006
402-3503978-8246736,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,345,SRI MADHOPUR,RAJASTHAN,332715
402-3503978-8246736,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,318,SRI MADHOPUR,RAJASTHAN,332715
402-3503978-8246736,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,318,SRI MADHOPUR,RAJASTHAN,332715
408-3087007-5423504,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,XXL,On the Way,0,INR,568.57,Erode,TAMIL NADU,638002
406-3959383-1590747,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,442,HOWRAH,WEST BENGAL,711106
406-4456828-6620339,27-04-2022,Cancelled,Amazon,Amazon.in,Shirt,XL,Unshipped,1,INR,442,BHADRESWAR,WEST BENGAL,712124
405-7589306-0124350,27-04-2022,Cancelled,Merchant,Amazon.in,Shirt,XXL,On the Way,0,,,AHMEDABAD,Gujarat,380054
403-1822042-7001969,27-04-2022,Delivered,Merchant,Amazon.in,Blazzer,L,Shipped,1,INR,665,Gurugram,HARYANA,122018
171-9409580-4808354,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,1186,GHAZIABAD,UTTAR PRADESH,201010
171-9409580-4808354,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,611,GHAZIABAD,UTTAR PRADESH,201010
171-8481339-7585947,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1112,GHAZIABAD,UTTAR PRADESH,201010
171-1831298-0966719,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,375,GHAZIABAD,UTTAR PRADESH,201010
171-1831298-0966719,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,M,Shipped,1,INR,1092,GHAZIABAD,UTTAR PRADESH,201010
